,,,,,HD01,SUBHD0201,SUBHD0202,SUBHD0203
GEO.id,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.display-label,GCT_STUB.display-label,Total population,Housing units,Housing units,Housing units
Id,GEO,Target Geo Id,Geographic area,Geographic area,,Total,Occupied,Vacant
0400000US17,Illinois,0400000US17,Illinois,Illinois,12830632,5296715,4836972,459743
0400000US17,Illinois,0500000US17001,Illinois - Adams County,Adams County,67103,29842,27375,2467
0400000US17,Illinois,0500000US17003,Illinois - Alexander County,Alexander County,8238,4006,3329,677
0400000US17,Illinois,0500000US17005,Illinois - Bond County,Bond County,17768,7089,6427,662
0400000US17,Illinois,0500000US17007,Illinois - Boone County,Boone County,54165,19970,18505,1465
0400000US17,Illinois,0500000US17009,Illinois - Brown County,Brown County,6937,2462,2099,363
0400000US17,Illinois,0500000US17011,Illinois - Bureau County,Bureau County,34978,15720,14262,1458
0400000US17,Illinois,0500000US17013,Illinois - Calhoun County,Calhoun County,5089,2835,2085,750
0400000US17,Illinois,0500000US17015,Illinois - Carroll County,Carroll County,15387,8437,6622,1815
0400000US17,Illinois,0500000US17017,Illinois - Cass County,Cass County,13642,5836,5270,566
0400000US17,Illinois,0500000US17019,Illinois - Champaign County,Champaign County,201081,87569,80665,6904
0400000US17,Illinois,0500000US17021,Illinois - Christian County,Christian County,34800,15563,14055,1508
0400000US17,Illinois,0500000US17023,Illinois - Clark County,Clark County,16335,7772,6782,990
0400000US17,Illinois,0500000US17025,Illinois - Clay County,Clay County,13815,6404,5697,707
0400000US17,Illinois,0500000US17027,Illinois - Clinton County,Clinton County,37762,15311,14005,1306
0400000US17,Illinois,0500000US17029,Illinois - Coles County,Coles County,53873,23425,21463,1962
0400000US17,Illinois,0500000US17031,Illinois - Cook County,Cook County,5194675,2180359,1966356,214003
0400000US17,Illinois,0500000US17033,Illinois - Crawford County,Crawford County,19817,8661,7763,898
0400000US17,Illinois,0500000US17035,Illinois - Cumberland County,Cumberland County,11048,4874,4377,497
0400000US17,Illinois,0500000US17037,Illinois - DeKalb County,DeKalb County,105160,41079,38484,2595
0400000US17,Illinois,0500000US17039,Illinois - De Witt County,De Witt County,16561,7521,6811,710
0400000US17,Illinois,0500000US17041,Illinois - Douglas County,Douglas County,19980,8390,7720,670
0400000US17,Illinois,0500000US17043,Illinois - DuPage County,DuPage County,916924,356179,337132,19047
0400000US17,Illinois,0500000US17045,Illinois - Edgar County,Edgar County,18576,8803,7839,964
0400000US17,Illinois,0500000US17047,Illinois - Edwards County,Edwards County,6721,3187,2840,347
0400000US17,Illinois,0500000US17049,Illinois - Effingham County,Effingham County,34242,14570,13515,1055
0400000US17,Illinois,0500000US17051,Illinois - Fayette County,Fayette County,22140,9302,8311,991
0400000US17,Illinois,0500000US17053,Illinois - Ford County,Ford County,14081,6282,5676,606
0400000US17,Illinois,0500000US17055,Illinois - Franklin County,Franklin County,39561,18525,16617,1908
0400000US17,Illinois,0500000US17057,Illinois - Fulton County,Fulton County,37069,16195,14536,1659
0400000US17,Illinois,0500000US17059,Illinois - Gallatin County,Gallatin County,5589,2746,2403,343
0400000US17,Illinois,0500000US17061,Illinois - Greene County,Greene County,13886,6389,5570,819
0400000US17,Illinois,0500000US17063,Illinois - Grundy County,Grundy County,50063,19996,18546,1450
0400000US17,Illinois,0500000US17065,Illinois - Hamilton County,Hamilton County,8457,4104,3489,615
0400000US17,Illinois,0500000US17067,Illinois - Hancock County,Hancock County,19104,9274,8040,1234
0400000US17,Illinois,0500000US17069,Illinois - Hardin County,Hardin County,4320,2488,1915,573
0400000US17,Illinois,0500000US17071,Illinois - Henderson County,Henderson County,7331,3827,3149,678
0400000US17,Illinois,0500000US17073,Illinois - Henry County,Henry County,50486,22161,20373,1788
0400000US17,Illinois,0500000US17075,Illinois - Iroquois County,Iroquois County,29718,13452,11956,1496
0400000US17,Illinois,0500000US17077,Illinois - Jackson County,Jackson County,60218,28578,25538,3040
0400000US17,Illinois,0500000US17079,Illinois - Jasper County,Jasper County,9698,4345,3940,405
0400000US17,Illinois,0500000US17081,Illinois - Jefferson County,Jefferson County,38827,16954,15365,1589
0400000US17,Illinois,0500000US17083,Illinois - Jersey County,Jersey County,22985,9848,8828,1020
0400000US17,Illinois,0500000US17085,Illinois - Jo Daviess County,Jo Daviess County,22678,13574,9753,3821
0400000US17,Illinois,0500000US17087,Illinois - Johnson County,Johnson County,12582,5598,4584,1014
0400000US17,Illinois,0500000US17089,Illinois - Kane County,Kane County,515269,182047,170479,11568
0400000US17,Illinois,0500000US17091,Illinois - Kankakee County,Kankakee County,113449,45246,41511,3735
0400000US17,Illinois,0500000US17093,Illinois - Kendall County,Kendall County,114736,40321,38022,2299
0400000US17,Illinois,0500000US17095,Illinois - Knox County,Knox County,52919,24077,21535,2542
0400000US17,Illinois,0500000US17097,Illinois - Lake County,Lake County,703462,260310,241712,18598
0400000US17,Illinois,0500000US17099,Illinois - LaSalle County,LaSalle County,113924,49978,45347,4631
0400000US17,Illinois,0500000US17101,Illinois - Lawrence County,Lawrence County,16833,6936,6130,806
0400000US17,Illinois,0500000US17103,Illinois - Lee County,Lee County,36031,15049,13758,1291
0400000US17,Illinois,0500000US17105,Illinois - Livingston County,Livingston County,38950,15895,14613,1282
0400000US17,Illinois,0500000US17107,Illinois - Logan County,Logan County,30305,12107,11070,1037
0400000US17,Illinois,0500000US17109,Illinois - McDonough County,McDonough County,32612,14419,13057,1362
0400000US17,Illinois,0500000US17111,Illinois - McHenry County,McHenry County,308760,116040,109199,6841
0400000US17,Illinois,0500000US17113,Illinois - McLean County,McLean County,169572,69656,65104,4552
0400000US17,Illinois,0500000US17115,Illinois - Macon County,Macon County,110768,50475,45855,4620
0400000US17,Illinois,0500000US17117,Illinois - Macoupin County,Macoupin County,47765,21584,19381,2203
0400000US17,Illinois,0500000US17119,Illinois - Madison County,Madison County,269282,117106,108094,9012
0400000US17,Illinois,0500000US17121,Illinois - Marion County,Marion County,39437,18296,16148,2148
0400000US17,Illinois,0500000US17123,Illinois - Marshall County,Marshall County,12640,5914,5161,753
0400000US17,Illinois,0500000US17125,Illinois - Mason County,Mason County,14666,7077,6079,998
0400000US17,Illinois,0500000US17127,Illinois - Massac County,Massac County,15429,7113,6362,751
0400000US17,Illinois,0500000US17129,Illinois - Menard County,Menard County,12705,5654,5140,514
0400000US17,Illinois,0500000US17131,Illinois - Mercer County,Mercer County,16434,7358,6734,624
0400000US17,Illinois,0500000US17133,Illinois - Monroe County,Monroe County,32957,13392,12589,803
0400000US17,Illinois,0500000US17135,Illinois - Montgomery County,Montgomery County,30104,13080,11652,1428
0400000US17,Illinois,0500000US17137,Illinois - Morgan County,Morgan County,35547,15515,14104,1411
0400000US17,Illinois,0500000US17139,Illinois - Moultrie County,Moultrie County,14846,6260,5758,502
0400000US17,Illinois,0500000US17141,Illinois - Ogle County,Ogle County,53497,22561,20856,1705
0400000US17,Illinois,0500000US17143,Illinois - Peoria County,Peoria County,186494,83034,75793,7241
0400000US17,Illinois,0500000US17145,Illinois - Perry County,Perry County,22350,9426,8335,1091
0400000US17,Illinois,0500000US17147,Illinois - Piatt County,Piatt County,16729,7269,6782,487
0400000US17,Illinois,0500000US17149,Illinois - Pike County,Pike County,16430,7951,6639,1312
0400000US17,Illinois,0500000US17151,Illinois - Pope County,Pope County,4470,2491,1829,662
0400000US17,Illinois,0500000US17153,Illinois - Pulaski County,Pulaski County,6161,3155,2642,513
0400000US17,Illinois,0500000US17155,Illinois - Putnam County,Putnam County,6006,3074,2509,565
0400000US17,Illinois,0500000US17157,Illinois - Randolph County,Randolph County,33476,13707,12314,1393
0400000US17,Illinois,0500000US17159,Illinois - Richland County,Richland County,16233,7513,6726,787
0400000US17,Illinois,0500000US17161,Illinois - Rock Island County,Rock Island County,147546,65756,61303,4453
0400000US17,Illinois,0500000US17163,Illinois - St. Clair County,St. Clair County,270056,116249,105045,11204
0400000US17,Illinois,0500000US17165,Illinois - Saline County,Saline County,24913,11697,10379,1318
0400000US17,Illinois,0500000US17167,Illinois - Sangamon County,Sangamon County,197465,89901,82986,6915
0400000US17,Illinois,0500000US17169,Illinois - Schuyler County,Schuyler County,7544,3459,3040,419
0400000US17,Illinois,0500000US17171,Illinois - Scott County,Scott County,5355,2459,2214,245
0400000US17,Illinois,0500000US17173,Illinois - Shelby County,Shelby County,22363,10396,9216,1180
0400000US17,Illinois,0500000US17175,Illinois - Stark County,Stark County,5994,2674,2425,249
0400000US17,Illinois,0500000US17177,Illinois - Stephenson County,Stephenson County,47711,22081,19845,2236
0400000US17,Illinois,0500000US17179,Illinois - Tazewell County,Tazewell County,135394,57516,54146,3370
0400000US17,Illinois,0500000US17181,Illinois - Union County,Union County,17808,7924,7167,757
0400000US17,Illinois,0500000US17183,Illinois - Vermilion County,Vermilion County,81625,36318,32655,3663
0400000US17,Illinois,0500000US17185,Illinois - Wabash County,Wabash County,11947,5585,5012,573
0400000US17,Illinois,0500000US17187,Illinois - Warren County,Warren County,17707,7682,6918,764
0400000US17,Illinois,0500000US17189,Illinois - Washington County,Washington County,14716,6534,5926,608
0400000US17,Illinois,0500000US17191,Illinois - Wayne County,Wayne County,16760,7975,7102,873
0400000US17,Illinois,0500000US17193,Illinois - White County,White County,14665,7181,6313,868
0400000US17,Illinois,0500000US17195,Illinois - Whiteside County,Whiteside County,58498,25770,23740,2030
0400000US17,Illinois,0500000US17197,Illinois - Will County,Will County,677560,237501,225256,12245
0400000US17,Illinois,0500000US17199,Illinois - Williamson County,Williamson County,66357,30359,27421,2938
0400000US17,Illinois,0500000US17201,Illinois - Winnebago County,Winnebago County,295266,125965,115501,10464
0400000US17,Illinois,0500000US17203,Illinois - Woodford County,Woodford County,38664,15145,14276,869
